bowler,total_runs
AC Gilchrist,0
DA Warner,2
Atharva Taide,4
SPD Smith,5
AM Rahane,5
SN Khan,6
LA Carseldine,6
YBK Jaiswal,6
SS Mundhe,6
SS Iyer,7
Y Gnaneswara Rao,7
R Ravindra,7
SA Yadav,8
Sachin Baby,8
D Brevis,8
RS Gavaskar,8
RA Shaikh,11
Gulbadin Naib,12
BJ Rohrer,12
RA Tripathi,12
N Wadhera,13
Aman Hakim Khan,13
C Ganapathy,13
C Munro,15
JE Root,15
F du Plessis,16
M Shahrukh Khan,16
P Prasanth,18
NB Singh,18
S Rana,18
B Chipli,20
NJ Rimmington,20
FY Fazal,20
Monu Kumar,20
LPC Silva,21
AA Kazi,21
S Vidyut,22
RV Patel,22
R Sanjay Yadav,23
DJM Short,23
I Malhotra,23
CJ Green,24
RR Bose,24
LRPL Taylor,24
Arshad Khan (2),25
MW Short,25
Shashank Singh,25
Mandeep Singh,26
MJ Suthar,26
DJ Harris,26
Jalaj S Saxena,27
DB Ravi Teja,28
Tilak Varma,28
GR Napier,28
Abdur Razzak,29
Mohit Rathee,29
S Midhun,29
T Stubbs,29
A Nel,31
KS Williamson,31
LI Meriwala,32
DAJ Bracewell,32
MB Parmar,33
RW Price,33
Tejas Baroka,33
CJ Dala,34
SS Sarkar,34
LMP Simmons,34
R Goyal,34
R Powell,35
RR Bhatkal,35
NL McCullum,35
NA Saini,35
V Kaverappa,36
BMAJ Mendis,36
A Badoni,37
Vivrant Sharma,37
Sumit Kumar,38
KA Maharaj,39
PH Solanki,39
DJ Thornely,40
GD Phillips,40
AJ Hosein,41
T Henderson,41
AA Noffke,41
PM Sarvesh Kumar,42
SS Agarwal,42
IC Porel,42
Gurnoor Brar,42
M Manhas,42
AS Raut,45
A Dananjaya,47
Sunny Gupta,47
GH Vihari,48
M Vijay,49
S Sriram,49
CK Kapugedera,49
S Joseph,51
MA Khote,52
SSB Magala,52
D Jansen,53
Shoaib Akhtar,54
Naman Dhir,55
SM Boland,56
P Ray Barman,56
D du Preez,56
SZ Mulani,57
Y Prithvi Raj,57
C Nanda,58
JM Kemp,58
Mashrafe Mortaza,59
KR Mayers,59
SR Tendulkar,59
RS Hangargekar,60
CJ McKay,60
SE Rutherford,60
VS Yeligati,61
MG Neser,62
SD Chitnis,62
H Sharma,62
AUK Pathan,63
RG More,63
Ramandeep Singh,64
R Ninan,65
JW Hastings,66
A Uniyal,67
AJ Finch,67
RJ Peterson,70
SC Kuggeleijn,71
Mohammad Hafeez,71
MJ Clarke,72
RJ Gleeson,72
S Dhawan,72
M Siddharth,72
SM Harwood,74
LB Williams,74
L Ablish,76
AC Voges,76
ND Doshi,79
D Salunkhe,80
KAJ Roach,80
K Upadhyay,81
SB Joshi,82
MK Tiwary,83
K Yadav,85
O Thomas,85
CL White,86
GS Sandhu,86
Shoaib Malik,87
MP Yadav,88
D Kalyankrishna,88
JPR Scantlebury-Searles,89
V Viyaskanth,90
KT Maphaka,90
K Santokie,91
AU Rashid,91
B Geeves,91
P Dubey,91
K Goel,94
L Wood,94
RN ten Doeschate,94
MG Bracewell,95
Gurkeerat Singh,97
DJ Mitchell,97
WA Mota,98
WG Jacks,100
DNT Zoysa,100
PD Collingwood,101
SA Abbott,104
A Flintoff,106
DJ Muthuswami,108
Abdul Samad,113
TM Head,113
AP Dole,114
A Kamboj,115
Arjun Tendulkar,117
KMDN Kulasekara,122
Yudhvir Singh,125
Y Nagar,125
LJ Wright,125
MK Lomror,127
AA Jhunjhunwala,130
RV Gomez,130
JJ van der Wath,134
FA Allen,136
GHS Garton,136
TP Sudhindra,137
Gagandeep Singh,142
A Choudhary,144
AL Menaria,144
Ankit Soni,145
VR Iyer,145
Sikandar Raza,146
SB Wagh,147
DG Nalkande,150
P Sahu,152
N Burger,152
P Suyal,154
Shoaib Ahmed,154
SH Johnson,155
FH Edwards,160
JA Richardson,162
T Thushara,164
Shivam Sharma,165
JE Taylor,167
M de Lange,171
AK Markram,173
Jaskaran Singh,174
SS Cottrell,177
OF Smith,179
RJW Topley,182
KJ Abbott,182
MJ Henry,183
T Shamsi,185
S Dube,190
AS Roy,191
MA Wood,192
Azmatullah Omarzai,194
TL Suman,198
Umar Gul,198
CK Langeveldt,199
B Stanlake,200
S Narwal,203
IS Sodhi,204
DP Vijaykumar,205
Mayank Dagar,205
AM Salvi,205
Anand Rajan,206
PC Valthaty,207
Nithish Kumar Reddy,208
SMSM Senanayake,211
RR Raje,214
R Shukla,217
KP Pietersen,218
SB Bangar,221
K Khejroliya,221
S Randiv,223
JEC Franklin,225
SE Bond,225
S Ladda,225
